Feature ID,Feature Name,Cluster 1 Mean Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value
ENSG00000123119,NECAB1,0.01706248456556174,0.24717614100442908,1,0.01089929112234412,-0.24717614100442908,1
ENSG00000254251,AC103770.1,0.0021328105706952174,-0.6809309405137842,1,0,0.6809309405137842,1
ENSG00000253250,C8orf88,0.04503994087526959,1.3190690594862158,0.3111026430700343,0.014532388163125494,-1.3190690594862158,0.3111026430700343
ENSG00000155099,PIP4P2,0.09497280011860469,0.8083075006064764,0.5528660396735235,0.05086335857093923,-0.8083075006064764,0.5528660396735235
ENSG00000253358,AC087439.1,0.002634648352035269,-0.39142432331879995,1,0,0.39142432331879995,1
ENSG00000253738,OTUD6B-AS1,0.13988728154853927,0.1033403684307781,1,0.12715839642734808,-0.1033403684307781,1
ENSG00000155100,OTUD6B,0.33096201679376375,0.814479975229079,0.45374008688999795,0.18528794907985005,-0.814479975229079,0.45374008688999795
ENSG00000214954,LRRC69,0.28215829255844377,1.284853344148302,0.15285107691138916,0.11262600826422257,-1.284853344148302,0.15285107691138916
ENSG00000147606,SLC26A7,1.1323969535938254,1.0895026052620318,0.22130219838526877,0.5304321679540805,-1.0895026052620318,0.22130219838526877
ENSG00000253901,AC103409.1,0.0021328105706952174,-0.6809309405137842,1,0,0.6809309405137842,1
ENSG00000079102,RUNX1T1,0.010287674517471049,-1.645741512051485,0.2323170761703091,0.02906477632625099,1.645741512051485,0.2323170761703091
ENSG00000253634,AC091096.1,0.0007527566720100768,-2.0435010198984926,1,0,2.0435010198984926,1
ENSG00000288005,AC104211.4,0.00025091889067002557,-3.2658934412349403,1,0,3.2658934412349403,1
ENSG00000248858,AC104211.1,0.10438225851873065,0.603389229965865,0.9494881507296814,0.06539574673406472,-0.603389229965865,0.9494881507296814
ENSG00000253577,AC117834.2,0.0018818916800251919,-0.8508559419560964,1,0,0.8508559419560964,1
ENSG00000253197,AC117834.1,0.03675961748315875,2.348816402880267,0.0939624706941199,0.0036330970407813736,-2.348816402880267,0.0939624706941199
ENSG00000205133,TRIQK,0.510243564177497,0.8724614812065016,0.4157377165537891,0.2761153750993844,-0.8724614812065016,0.4157377165537891
ENSG00000279847,C8orf87,0.005520215594740563,0.6409971543735775,1,0,-0.6409971543735775,1
ENSG00000246662,LINC00535,0.2070080848027711,0.7508056217068217,0.5837348696884754,0.11989220234578532,-0.7508056217068217,0.5837348696884754
ENSG00000253960,AC016885.1,0.000627297226675064,-2.2658934412349403,1,0,2.2658934412349403,1
ENSG00000254089,AC016885.2,0.0022582700160302303,-0.6029284285125112,1,0,0.6029284285125112,1
ENSG00000188343,FAM92A,0.1999823558640104,0.8342884563092596,0.4652083607982039,0.10899291122344121,-0.8342884563092596,0.4652083607982039
ENSG00000271971,AC120053.1,0.014553295658861484,-0.3024193172600542,1,0.014532388163125494,0.3024193172600542,1
ENSG00000253854,AC010834.3,0.0011291350080151151,-1.5289278470687346,1,0,1.5289278470687346,1
ENSG00000183808,RBM12B,0.5269296704070537,0.47141561086429773,0.8671080837710236,0.37784209224126286,-0.47141561086429773,0.8671080837710236
ENSG00000253722,AC010834.1,0.0005018377813400511,-2.5289278470687346,1,0,2.5289278470687346,1
ENSG00000253848,AC010834.2,0.0007527566720100768,-2.0435010198984926,1,0,2.0435010198984926,1
ENSG00000164953,TMEM67,0.7171261895349331,1.220795696839955,0.15319077296089462,0.30518015142563537,-1.220795696839955,0.15319077296089462
ENSG00000254057,AC084346.1,0.0033874050240453456,-1.0435010198984926,0.9327318961394802,0.0036330970407813736,1.0435010198984926,0.9327318961394802
ENSG00000164951,PDP1,0.10802058243344602,0.2002483989919086,1,0.09082742601953434,-0.2002483989919086,1
ENSG00000264448,MIR378D2HG,0.0032619455787103327,-0.09596843979262815,1,0,0.09596843979262815,1
ENSG00000253585,AP003351.1,0.0027601077973702817,-0.3272939858990842,1,0,0.3272939858990842,1
ENSG00000079112,CDH17,0.008907620618785908,1.319069059486215,0.557243885739054,0,-1.319069059486215,0.557243885739054
ENSG00000164949,GEM,0.013800538986851407,-1.7568797937470828,0.2021019864803878,0.04359716448937648,1.7568797937470828,0.2021019864803878
ENSG00000197275,RAD54B,0.22607792049369305,1.0111314290893696,0.3498983904744652,0.10899291122344121,-1.0111314290893696,0.3498983904744652
ENSG00000265817,FSBP,0.10112031294002032,0.16171273154695864,1,0.08719432897875296,-0.16171273154695864,1
ENSG00000164944,VIRMA,0.4668345960915826,-0.11827661884191198,1,0.5050004886686109,0.11827661884191198,1
ENSG00000253704,AC023632.2,0.09472188122793467,0.8044958866564578,0.5515501021436922,0.05086335857093923,-0.8044958866564578,0.5515501021436922
ENSG00000261437,AC108860.2,0.01392599843218642,1.9564989801015065,0.32069800949380134,0,-1.9564989801015065,0.32069800949380134
